# Energy	Flux
# keV	photon/(cm**2*s*keV)
6.380649999999999933e-01	1.229848484848496168e-06
6.390549999999999287e-01	2.077040404040423171e-06
6.400449999999999751e-01	1.145020202020212599e-06
6.410350000000000215e-01	2.294858585858606963e-07
6.420250000000000679e-01	1.706010101010116707e-06
6.430150000000000032e-01	1.417989898989911902e-07
6.440049999999999386e-01	1.397010101010114033e-07
6.449949999999999850e-01	6.927585858585922666e-07
6.459850000000000314e-01	1.775262626262642602e-07
6.469750000000000778e-01	2.609363636363660541e-07
6.479650000000000132e-01	1.480252525252539099e-07
6.489549999999999486e-01	4.827373737373781727e-07
6.499449999999999950e-01	1.085020202020212114e-06
6.509350000000000414e-01	1.949202020202038143e-06
6.519249999999999767e-01	3.078090909090937211e-06
6.529150000000000231e-01	2.534838383838407468e-06
6.539049999999999585e-01	1.817474747474764180e-04
6.548950000000000049e-01	1.020070707070716371e-06
6.558850000000000513e-01	3.207191919191948665e-07
6.568749999999999867e-01	3.038373737373764847e-07
6.578649999999999221e-01	1.085171717171727146e-07
6.588549999999999685e-01	1.868656565656582869e-07
6.598450000000000149e-01	1.098090909090919243e-07
6.608350000000000612e-01	1.597878787878802512e-07
6.618249999999999966e-01	1.061919191919201689e-07
6.628149999999999320e-01	4.192565656565695327e-07
6.638049999999999784e-01	1.753171717171733392e-07
6.647950000000000248e-01	1.226929292929304425e-07
6.657850000000000712e-01	3.174131313131341994e-05
6.667750000000000066e-01	2.824282828282853918e-07
6.677649999999999419e-01	1.880939393939411342e-07
6.687549999999999883e-01	1.223585858585869737e-07
6.697450000000000347e-01	1.147252525252535919e-07
