# Energy	Flux
# keV	photon/(s*keV*arcmin**2)
5.574999999999999956e-01	3.953302012232958362e-04
5.584999999999999964e-01	3.951777324705256673e-04
5.594999999999999973e-01	3.950252637177555527e-04
5.604999999999999982e-01	3.948798865348816908e-04
5.614999999999999991e-01	3.947274177821115762e-04
5.625000000000000000e-01	3.945784948142895608e-04
5.635000000000000009e-01	3.944331176314156990e-04
5.645000000000000018e-01	3.942877404485418372e-04
5.655000000000000027e-01	3.941423632656679754e-04
5.665000000000000036e-01	3.939969860827941136e-04
5.675000000000000044e-01	3.938551546848683511e-04
5.685000000000000053e-01	3.937133232869426428e-04
5.695000000000000062e-01	3.935750376739650881e-04
5.705000000000000071e-01	3.934367520609875334e-04
5.715000000000000080e-01	3.932984664480099787e-04
5.725000000000000089e-01	3.931601808350323698e-04
5.735000000000000098e-01	3.930254410070029686e-04
5.745000000000000107e-01	3.928907011789735133e-04
5.755000000000000115e-01	3.927559613509441121e-04
5.765000000000000124e-01	3.926247673078628103e-04
5.775000000000000133e-01	3.924935732647815085e-04
5.785000000000000142e-01	3.923623792217002608e-04
5.795000000000000151e-01	3.922347309635670584e-04
5.805000000000000160e-01	3.921070827054339643e-04
5.815000000000000169e-01	3.919794344473007618e-04
5.825000000000000178e-01	3.918517861891676678e-04
5.835000000000000187e-01	3.917276837159826730e-04
5.845000000000000195e-01	3.916035812427976241e-04
5.855000000000000204e-01	3.914794787696126836e-04
5.865000000000000213e-01	3.913589220813757882e-04
5.875000000000000222e-01	3.912383653931389470e-04
5.885000000000000231e-01	3.911178087049021058e-04
5.895000000000000240e-01	3.909972520166652104e-04
5.905000000000000249e-01	3.908802411133765228e-04
5.915000000000000258e-01	3.907667759950359345e-04
5.925000000000000266e-01	3.906462193067990933e-04
5.935000000000000275e-01	3.905327541884585051e-04
5.945000000000000284e-01	3.904157432851697632e-04
5.955000000000000293e-01	3.903058239517773285e-04
5.965000000000000302e-01	3.901923588334367944e-04
5.975000000000000311e-01	3.900788937150962061e-04
5.985000000000000320e-01	3.899689743817037714e-04
5.995000000000000329e-01	3.898590550483113908e-04
6.005000000000000338e-01	3.897526814998670554e-04
6.015000000000000346e-01	3.896427621664746207e-04
6.025000000000000355e-01	3.895363886180303395e-04
6.035000000000000364e-01	3.894335608545342118e-04
6.045000000000000373e-01	3.893271873060898764e-04
6.055000000000000382e-01	3.892243595425937488e-04
6.065000000000000391e-01	3.891215317790976754e-04
6.075000000000000400e-01	3.890187040156014935e-04
6.085000000000000409e-01	3.889158762521053659e-04
6.095000000000000417e-01	3.888165942735573376e-04
6.105000000000000426e-01	3.887173122950093635e-04
6.115000000000000435e-01	3.886180303164613352e-04
6.125000000000000444e-01	3.885187483379133611e-04
6.135000000000000453e-01	3.884230121443134863e-04
6.145000000000000462e-01	3.883272759507136115e-04
6.155000000000000471e-01	3.882315397571137910e-04
6.165000000000000480e-01	3.881358035635139162e-04
6.175000000000000488e-01	3.880436131548621408e-04
6.185000000000000497e-01	3.879514227462104738e-04
6.195000000000000506e-01	3.878592323375587526e-04
6.205000000000000515e-01	3.877670419289070314e-04
6.215000000000000524e-01	3.876783973052034637e-04
6.225000000000000533e-01	3.875862068965517425e-04
6.235000000000000542e-01	3.874975622728482291e-04
6.245000000000000551e-01	3.874124634340927608e-04
6.254999999999999449e-01	3.873238188103891931e-04
6.264999999999999458e-01	3.872387199716337790e-04
6.274999999999999467e-01	3.871536211328783649e-04
6.284999999999999476e-01	3.870685222941228965e-04
6.294999999999999485e-01	3.869834234553674824e-04
6.304999999999999494e-01	3.869018704015601677e-04
6.314999999999999503e-01	3.868167715628047535e-04
6.324999999999999512e-01	3.867352185089974388e-04
6.334999999999999520e-01	3.866536654551901782e-04
6.344999999999999529e-01	3.865756581863310170e-04
6.354999999999999538e-01	3.864941051325237564e-04
6.364999999999999547e-01	3.864160978636646494e-04
6.374999999999999556e-01	3.863380905948054340e-04
6.384999999999999565e-01	3.862636291108944805e-04
6.394999999999999574e-01	3.861856218420353193e-04
6.404999999999999583e-01	3.861111603581243116e-04
6.414999999999999591e-01	3.860366988742133039e-04
6.424999999999999600e-01	3.859622373903022962e-04
6.434999999999999609e-01	3.858877759063912886e-04
6.444999999999999618e-01	3.858133144224803351e-04
6.454999999999999627e-01	3.857423987235174268e-04
6.464999999999999636e-01	3.856714830245546268e-04
6.474999999999999645e-01	3.856005673255917185e-04
6.484999999999999654e-01	3.855296516266289186e-04
6.494999999999999662e-01	3.854622817126141638e-04
6.504999999999999671e-01	3.853913660136513097e-04
6.514999999999999680e-01	3.853239960996366091e-04
6.524999999999999689e-01	3.852566261856218543e-04
6.534999999999999698e-01	3.851892562716071537e-04
6.544999999999999707e-01	3.851254321425406067e-04
6.554999999999999716e-01	3.850580622285258519e-04
6.564999999999999725e-01	3.849942380994592506e-04
6.574999999999999734e-01	3.849304139703927578e-04
6.584999999999999742e-01	3.848665898413261566e-04
6.594999999999999751e-01	3.848063114972077089e-04
6.604999999999999760e-01	3.847424873681411618e-04
6.614999999999999769e-01	3.846822090240227142e-04
6.624999999999999778e-01	3.846219306799043207e-04
6.634999999999999787e-01	3.845616523357858730e-04
6.644999999999999796e-01	3.845013739916674253e-04
6.654999999999999805e-01	3.844446414324971853e-04
6.664999999999999813e-01	3.843843630883787377e-04
6.674999999999999822e-01	3.843276305292084435e-04
6.684999999999999831e-01	3.842708979700381494e-04
6.694999999999999840e-01	3.842141654108678552e-04
6.704999999999999849e-01	3.841574328516975611e-04
6.714999999999999858e-01	3.841042460774754747e-04
6.724999999999999867e-01	3.840475135183051805e-04
6.734999999999999876e-01	3.839943267440830399e-04
