# Energy	Flux
# keV	photon/(cm**2*s*keV*arcmin**2)
 0.9955  2.9980e-4
 0.9965  2.9980e-4
 0.9975  2.9980e-4
 0.9985  2.9980e-4
 0.9995  2.9980e-4
 1.0005  2.9980e-4
 1.0015  2.9980e-4
 1.0025  2.9980e-4
 1.0035  2.9980e-4
 1.0045  2.9980e-4
 1.0055  2.9980e-4
 1.0065  2.9980e-4
 1.0075  2.9980e-4
 1.0085  2.9980e-4
 1.0095  2.9980e-4
 1.0105  2.9980e-4
 1.0115  2.9980e-4
 1.0125  2.9980e-4
 1.0135  2.9980e-4
 1.0145  2.9980e-4
 1.0155  2.9980e-4
 1.0165  2.9980e-4
 1.0175  2.9980e-4
 1.0185  2.9980e-4
 1.0195  2.9980e-4
 1.0205  2.9980e-4
 1.0215  2.9980e-4
 1.0225  2.9980e-4
 1.0235  2.9980e-4
 1.0245  2.9980e-4
 1.0255  2.9980e-4
 1.0265  2.9980e-4
 1.0275  2.9980e-4
 1.0285  2.9980e-4
 1.0295  2.9980e-4
 1.0305  2.9980e-4
 1.0315  2.9980e-4
 1.0325  2.9980e-4
 1.0335  2.9980e-4
 1.0345  2.9980e-4
 1.0355  2.9980e-4
 1.0365  2.9980e-4
 1.0375  2.9980e-4
 1.0385  2.9980e-4
 1.0395  2.9980e-4
 1.0405  2.9980e-4
 1.0415  2.9980e-4
 1.0425  2.9980e-4
 1.0435  2.9980e-4
 1.0445  2.9980e-4
 1.0455  2.9980e-4
 1.0465  2.9980e-4
 1.0475  2.9980e-4
 1.0485  2.9980e-4
 1.0495  2.9980e-4
 1.0505  2.9980e-4
 1.0515  2.9980e-4
 1.0525  2.9980e-4
 1.0535  2.9980e-4
 1.0545  2.9980e-4
 1.0555  2.9980e-4
 1.0565  2.9980e-4
 1.0575  2.9980e-4
 1.0585  2.9980e-4
 1.0595  2.9980e-4
 1.0605  2.9980e-4
 1.0615  2.9980e-4
 1.0625  2.9980e-4
 1.0635  2.9980e-4
 1.0645  2.9980e-4
 1.0655  2.9980e-4
 1.0665  2.9980e-4
 1.0675  2.9980e-4
 1.0685  2.9980e-4
 1.0695  2.9980e-4
 1.0705  2.9980e-4
 1.0715  2.9980e-4
 1.0725  2.9980e-4
 1.0735  2.9980e-4
 1.0745  2.9980e-4
 1.0755  2.9980e-4
 1.0765  2.9980e-4
 1.0775  2.9980e-4
 1.0785  2.9980e-4
 1.0795  2.9980e-4
 1.0805  2.9980e-4
 1.0815  2.9980e-4
 1.0825  2.9980e-4
 1.0835  2.9980e-4
